group,keyword,caseId,caseName,country,status,elapsedMs,summaryChars,originalUrl,error
"zh","租赁","Case C-09-00882-RMW","Beijing Tong Ren Tang (Usa) Corp. v. Trt USA Corp. (N.D. Cal. 2009)","US","DONE",35082,1270,"https://www.courtlistener.com/opinion/2505046/beijing-tong-ren-tang-usa-corp-v-trt-usa-corp/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","版权","M-94 September Term 2018; 081635","åæ¬¡æè®®æäºDP 18116ååï¼æ°æ³½è¥¿å·ï¼2018å¹´ï¼","US","DONE",25064,1191,"https://www.courtlistener.com/opinion/8265717/in-re-protest-of-award-of-contract-dp-18116/?q=contract&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=3",""
"zh","股东","14-24-00263-CV","QESC LLC v. Harris Central Appraisal District (Tex. App.-Houston [14th Dist.] 2024)","US","DONE",25076,987,"https://www.courtlistener.com/opinion/9755179/qesc-llc-v-harris-central-appraisal-district/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","合同","20-1802P","Equal Means Equalv. Ferriero (1st Cir. 2021)","US","DONE",30075,1554,"https://www.courtlistener.com/opinion/4895880/equal-means-equal-v-ferriero/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","公司","64101","Raytheon Company(A.S.B.C.A. 2025)","US","DONE",30089,1282,"https://www.courtlistener.com/opinion/10665302/raytheon-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","交通","Index No. 70272/14","Globe Trade Capital, LLC v. Hoey (N.Y. App. Div. 2021)","US","DONE",30108,1256,"https://www.courtlistener.com/opinion/5296609/globe-trade-capital-llc-v-hoey/?q=trade&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","合同","2160538","Kennemer v. Shelby Cnty. Bd. of Equal. (Ala. Civ. App. 2017)","US","DONE",30099,1226,"https://www.courtlistener.com/opinion/8670320/kennemer-v-shelby-cnty-bd-of-equal/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","毒品","No. 12-6076","Hughes v. Chevron Phillips Chemical Co. (2013)","US","DONE",25067,913,"https://www.courtlistener.com/opinion/9240429/hughes-v-chevron-phillips-chemical-co/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=10",""
"zh","毒品","13-CV-685","Greenpeace, Inc. v. The Dow Chemical Company (D.C. 2014)","US","DONE",35091,1509,"https://www.courtlistener.com/opinion/2719718/greenpeace-inc-v-the-dow-chemical-company/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=10",""
"zh","租赁","MDL No. 2712","In re Air Crash over the Southern Indian Ocean (J.P.M.L. 2016)","US","DONE",30086,1705,"https://www.courtlistener.com/opinion/7320674/in-re-air-crash-over-the-southern-indian-ocean/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","环境","Index No. 653591/16 Appeal No. 1082-1083 Case No. 2022-02556, 2022-02557","Colonial Funding Network, Inc. v. Finley (N.Y. App. Div. 2023)","US","DONE",30091,1673,"https://www.courtlistener.com/opinion/9443678/colonial-funding-network-inc-v-finley/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","毒品","15-10006","NLRB v. Gaylord Chemical Company, LLC (11th Cir. 2016)","US","DONE",40110,1845,"https://www.courtlistener.com/opinion/3210520/nlrb-v-gaylord-chemical-company-llc/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=8",""
"zh","税务","25-1278","Harbor Business Compliance Corp v. Firstbase IO Inc (3rd Cir. 2025)","US","DONE",35082,1976,"https://www.courtlistener.com/opinion/10661790/harbor-business-compliance-corp-v-firstbase-io-inc/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=3",""
"zh","环境","22-1658","NEAL SULLIVAN vs KIN INTERINSURANCENETWORK(Fla. Dist. Ct. App. 2023)","US","DONE",30085,1588,"https://www.courtlistener.com/opinion/9444849/neal-sullivan-vs-kin-interinsurance-network/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","5D15-3082","Investor Trustee v. DLJ Mortgage (Fla. Dist. Ct. App. 2017)","US","DONE",35098,1739,"https://www.courtlistener.com/opinion/4382751/investor-trustee-v-dlj-mortgage/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","侵权","L-24-1014","State v.Price(Ohio Ct. App. 2025)","US","DONE",35070,1341,"https://www.courtlistener.com/opinion/10347742/state-v-price/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","租赁","15-0005","Oncor Electric Delivery Company LLC v. Public Utility Commission of Texas (Tex. App.-Houston [15th Dist.] 2015)","US","DONE",30069,1467,"https://www.courtlistener.com/opinion/4283953/oncor-electric-delivery-company-llc-v-public-utility-commission-of-texas/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","租赁","02-22-00456-CV","Ran Li v. Yaxin Li (Tex. App.-Fort Worth 2023)","US","DONE",35096,1777,"https://www.courtlistener.com/opinion/9416942/ran-li-v-yaxin-li/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","公司","354418","Gavrilides Management Company LLC v. Michigan Insurance Company(Mich. Ct. App. 2022)","US","DONE",15046,1744,"https://www.courtlistener.com/opinion/6248609/gavrilides-management-company-llc-v-michigan-insurance-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","劳动","CIVIL ACTION NO. Hâ17â1028","W.Power, Inc. v. Transamerican Power Prods., Inc. (S.D. Tex. 2018)","US","IDLE",211018,0,"https://www.courtlistener.com/opinion/7330713/w-power-inc-v-transamerican-power-prods-inc/?q=power&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","租赁","Slip Op. 17-75; Consol. Court No. 15-00231","Solarworld Americas, Inc. v. United States (Ct. Intl. Trade 2017)","US","DONE",40099,1694,"https://www.courtlistener.com/opinion/7324197/solarworld-americas-inc-v-united-states/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","租赁","04-14-00343-CV","EXLP Leasing LLC and EES Leasing LLC v. Webb County Appraisal District and United Independent School District (Tex. App.-San Antonio 2015)","US","DONE",30086,1830,"https://www.courtlistener.com/opinion/4261404/exlp-leasing-llc-and-ees-leasing-llc-v-webb-county-appraisal-district-and/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","环境","Case No. 12-cv-06005-EMC","Serv. Women's Action Networkv. Mattis (N.D. Cal. 2018)","US","DONE",10019,1159,"https://www.courtlistener.com/opinion/7331091/serv-womens-action-network-v-mattis/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","租赁","No. 11-4366","Feng v. Attorney General of the United States (3rd Cir. 2012)","US","DONE",30099,1777,"https://www.courtlistener.com/opinion/8484749/feng-v-attorney-general-of-the-united-states/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","环境","18-1029","Ghosh v.Network(2019)","US","DONE",25057,882,"https://www.courtlistener.com/opinion/9359254/ghosh-v-network/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","No. 10M39","Dunkley v. Mellon Investor Services (2010)","US","DONE",40127,2513,"https://www.courtlistener.com/opinion/7339709/dunkley-v-mellon-investor-services/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","环境","995 CA 21-00704","Harms v. TLC Health Network(N.Y. App. Div. 2023)","US","DONE",30107,1537,"https://www.courtlistener.com/opinion/9395476/harms-v-tlc-health-network/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","侵权","2024-CA-69","State v.Price(Ohio Ct. App. 2025)","US","DONE",40097,1613,"https://www.courtlistener.com/opinion/10385044/state-v-price/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","12-5286","Securities & Exchange Commission v. Securities Investor Protection Corp. (D.C. Cir. 2014)","US","DONE",40119,1678,"https://www.courtlistener.com/opinion/2684774/securities-exchange-commission-v-securities-investor-protection-corp/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","消费者","Docket No. 45969","Sec.Investor Fund LLC v. Crumb (Idaho 2019)","US","DONE",35094,2287,"https://www.courtlistener.com/opinion/6658934/sec-investor-fund-llc-v-crumb/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","合同","163375","Fair and Equal Michigan v. Board of State Canvasser (Mich. 2021)","US","DONE",25076,929,"https://www.courtlistener.com/opinion/5065525/fair-and-equal-michigan-v-board-of-state-canvasser/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","版权","13-AA-362","Unfoldmentï¼è¡ä»½æéå¬å¸è¯DCContractä¸è¯æéå¬å¸ï¼D.C.2017ï¼","US","DONE",30074,1454,"https://www.courtlistener.com/opinion/5155415/unfoldment-inc-v-dc-contract-appeals-bd/?q=contract&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","18A-CC-1671","Subway Real Estate Corporation v. GIV Green Tree Mall Investor, LLC (mem. dec.) (Ind. Ct. App. 2019)","US","DONE",40095,1789,"https://www.courtlistener.com/opinion/4609736/subway-real-estate-corporation-v-giv-green-tree-mall-investor-llc-mem/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","税务","20-35838","Tiffany Hill v. Xerox Business Services, LLC (9th Cir. 2023)","US","DONE",40129,1577,"https://www.courtlistener.com/opinion/9372832/tiffany-hill-v-xerox-business-services-llc/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=3",""
"zh","股东","S-20-193, S-20-196, S-20-198, S-20-205","Mercer v. North Central Serv. (Neb. 2021)","US","DONE",35101,1719,"https://www.courtlistener.com/opinion/4874217/mercer-v-north-central-serv/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","租赁","18-2007","Tian Rui Group Co. v. International Trade Commission (Fed. Cir. 2011)","US","DONE",40097,1684,"https://www.courtlistener.com/opinion/615096/tianrui-group-co-v-international-trade-commission/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","租赁","Consol. 15-00286","Jacobi Carbons AB v. United States (Ct. Intl. Trade 2018)","US","DONE",35094,1456,"https://www.courtlistener.com/opinion/4488305/jacobi-carbons-ab-v-united-states/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","毒品","A-89-18","Sun Chemical Corporation v. Fike Corporation (082815)(Statewide) (N.J. 2020)","US","DONE",40101,2025,"https://www.courtlistener.com/opinion/4771334/sun-chemical-corporation-v-fike-corporation-082815statewide/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=8",""
"zh","合同","14-11007","Equal Employment Opportunity Commission v. Exel, Inc. (11th Cir. 2018)","US","DONE",5022,1912,"https://www.courtlistener.com/opinion/4478586/equal-employment-opportunity-commission-v-exel-inc/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","毒品","S244737","Montrose Chemical Corp. of Cal. v. Superior Court (Cal. 2020)","US","DONE",40107,1562,"https://www.courtlistener.com/opinion/4742456/montrose-chemical-corp-of-cal-v-superior-court/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=8",""
"zh","劳动","ASBCA No. 61830","Alabama Power Company (A.S.B.C.A. 2019)","US","DONE",30093,1167,"https://www.courtlistener.com/opinion/4619036/alabama-power-company/?q=power&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","环境","N24C-07-135 FWW","Schiavo v. Clover Network, LLC (Del. Super. Ct. 2025)","US","DONE",40121,1918,"https://www.courtlistener.com/opinion/10643567/schiavo-v-clover-network-llc/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","No. 5:16-CV-313-D","Trans Enterix Investor Group v. Trans Enterix, Inc. (E.D.N.C. 2017)","US","DONE",50159,2835,"https://www.courtlistener.com/opinion/7327129/transenterix-investor-group-v-transenterix-inc/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","消费者","KLCE202401034","Corinthos Investor Group, LLC v. Amg Securities, LLC. ( 2024)","US","DONE",35093,1205,"https://www.courtlistener.com/opinion/10291591/corinthos-investor-group-llc-v-amg-securities-llc/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","版权","19-1703","Leonid Burlakaè¯ååè¿è¾æå¡æéè´£ä»»å¬å¸ï¼2020å¹´ç¬¬ä¸å·¡åæ³åº­ï¼","US","DONE",15052,1713,"https://www.courtlistener.com/opinion/4777594/leonid-burlaka-v-contract-transport-services-ll/?q=contract&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","公司","64228","Aspen Construction Company(A.S.B.C.A. 2025)","US","DONE",30074,1513,"https://www.courtlistener.com/opinion/10679552/aspen-construction-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","租赁","14-00148","Gang Yan Diamond Prods., Inc. v. United States (Ct. Intl. Trade 2015)","US","DONE",35085,1738,"https://www.courtlistener.com/opinion/3153384/gang-yan-diamond-prods-inc-v-united-states/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","股东","A180094","Central Pastime, LLC v. OLCC (Or. Ct. App. 2025)","US","DONE",35105,1684,"https://www.courtlistener.com/opinion/10655028/central-pastime-llc-v-olcc/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","侵权","111921","State v.Price(Ohio Ct. App. 2023)","US","DONE",5022,1880,"https://www.courtlistener.com/opinion/9433842/state-v-price/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","税务","Civil Action No. 2022-0776","Mae Capital, LLC v. Small Business Administration (D.D.C. 2025)","US","DONE",35090,1812,"https://www.courtlistener.com/opinion/10364625/mae-capital-llc-v-small-business-administration/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","公司","19-1498","Westfield Insurance Companyv. Selective Insurance Company(4th Cir. 2023)","US","DONE",35100,1506,"https://www.courtlistener.com/opinion/9413370/westfield-insurance-company-v-selective-insurance-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","租赁","18-1311","Jet Midwest International Co. v. Jet Midwest Group, LLC (8th Cir. 2019)","US","DONE",40128,1800,"https://www.courtlistener.com/opinion/4645291/jet-midwest-international-co-v-jet-midwest-group-llc/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","侵权","197-8-08 oecv","pricev. fairlee (Vt. Super. Ct. 2023)","US","DONE",30096,1413,"https://www.courtlistener.com/opinion/9456536/price-v-fairlee/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","合同","18-7251","Jordan v.Equal Emp't Opportunity Comm'n (2019)","US","DONE",25102,750,"https://www.courtlistener.com/opinion/9358473/jordan-v-equal-empt-opportunity-commn/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","税务","S253458","Kaanaana v. Barrett Business Services, Inc. (Cal. 2021)","US","DONE",35084,1399,"https://www.courtlistener.com/opinion/4868618/kaanaana-v-barrett-business-services-inc/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=3",""
"zh","毒品","No. 1D14-4079","Arizona Chemical Co. v. Mohawk Industries, Inc. (Fla. Dist. Ct. App. 2016)","US","DONE",35095,2365,"https://www.courtlistener.com/opinion/5015038/arizona-chemical-co-v-mohawk-industries-inc/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=8",""
"zh","毒品","No. 2015-CC-0663","La Barre v. Occidental Chemical Co. (La. 2015)","US","DONE",25063,1649,"https://www.courtlistener.com/opinion/5008021/labarre-v-occidental-chemical-co/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","股东","20-3027","Central Specialties, Inc. v. Jonathan Large (8th Cir. 2021)","US","DONE",35073,1852,"https://www.courtlistener.com/opinion/5300596/central-specialties-inc-v-jonathan-large/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","毒品","156128","Gary Henry v. Dow Chemical Company (Mich. 2017)","US","DONE",35083,1426,"https://www.courtlistener.com/opinion/4420292/gary-henry-v-dow-chemical-company/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","公司","ASBCA No. 63025","First National Company(A.S.B.C.A. 2022)","US","DONE",30068,1083,"https://www.courtlistener.com/opinion/8436795/first-national-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","税务","N20A-07-013 FJJ","Moore v. Heritage Business Systems (Del. Super. Ct. 2021)","US","DONE",30088,1243,"https://www.courtlistener.com/opinion/4873815/moore-v-heritage-business-systems/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","毒品","16-3419, 16-4472","Cheri Dahlin v. Lyondell Chemical Company (8th Cir. 2018)","US","DONE",30082,1359,"https://www.courtlistener.com/opinion/4462412/cheri-dahlin-v-lyondell-chemical-company/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=5",""
"zh","侵权","85198","Pricev. Youngman (Nev. 2022)","US","DONE",5021,1440,"https://www.courtlistener.com/opinion/8511308/price-v-youngman/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","租赁","22-3132","Beijing Neu Cloud v. IBM Corp. (2d Cir. 2024)","US","DONE",35079,1737,"https://www.courtlistener.com/opinion/10013953/beijing-neu-cloud-v-ibm-corp/?q=Beijing&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","环境","2017-0472","Kettering Health Networkv. Care Source (Ohio 2017)","US","DONE",30105,1172,"https://www.courtlistener.com/opinion/6904418/kettering-health-network-v-caresource/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","公司","62096, 62104","The Minesen Company(A.S.B.C.A. 2025)","US","DONE",35119,1868,"https://www.courtlistener.com/opinion/10601602/the-minesen-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","毒品","Case No. 09-10023 (CGM); Adv. Pro. No. 09-01375 (MG), Adv. Pro. No. 11-01844 (MG)","Weisfelner v. Blavatnik (In re Lyondell Chemical Co.) (Bankr. S.D.N.Y. 2017)","US","DONE",40124,1428,"https://www.courtlistener.com/opinion/8527971/weisfelner-v-blavatnik-in-re-lyondell-chemical-co/?q=chemical&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=10",""
"zh","公司","ASBCA No. 63035","Walsh Construction Company(A.S.B.C.A. 2022)","US","DONE",40144,1974,"https://www.courtlistener.com/opinion/7917289/walsh-construction-company/?q=company&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","股东","A180668","Central Oregon Land Watch v. Deschutes County (Or. Ct. App. 2023)","US","DONE",30078,1422,"https://www.courtlistener.com/opinion/9442614/central-oregon-landwatch-v-deschutes-county/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","股东","13-22-00031-CV","Paul Johnson v. Bastrop Central Appraisal District (Tex. App.-Edinburg-Corpus Christi 2024)","US","DONE",35128,2096,"https://www.courtlistener.com/opinion/9469633/paul-johnson-v-bastrop-central-appraisal-district/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","消费者","14-1128","Securities Investor Protection Corp. v. Ida Fishman Revocable Trust (2015)","US","DONE",25064,1383,"https://www.courtlistener.com/opinion/8175588/securities-investor-protection-corp-v-ida-fishman-revocable-trust/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","环境","AC40197","Hospital Media Network, LLC v. Henderson (Conn. App. Ct. 2019)","US","DONE",40128,2098,"https://www.courtlistener.com/opinion/4593681/hospital-media-network-llc-v-henderson/?q=network&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","劳动","CV-24-0541","Scaletta v. Michels Power, Inc. (N.Y. App. Div. 2025)","US","DONE",30071,1419,"https://www.courtlistener.com/opinion/10315164/scaletta-v-michels-power-inc/?q=power&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","税务","Index No. 651801/19 Appeal No. 16021 Case No. 2021-03313","Capstone Business Funding, LLC v. Shames Constr. Co., Ltd. (N.Y. App. Div. 2022)","US","DONE",40112,1861,"https://www.courtlistener.com/opinion/6472274/capstone-business-funding-llc-v-shames-constr-co-ltd/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=9",""
"zh","合同","Civil Action No. 2017-1272","Equal Rights Center v. Uber Technologies, Inc. (D.D.C. 2021)","US","DONE",40098,1503,"https://www.courtlistener.com/opinion/4864231/equal-rights-center-v-uber-technologies-inc/?q=equal&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","税务","Civil Action No. 2023-1847","Matek, Incorporated v. International Business Mac Hines Corporation (D.D.C. 2024)","US","DONE",15045,1668,"https://www.courtlistener.com/opinion/9476085/matek-incorporated-v-international-business-machines-corporation/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=3",""
"zh","侵权","No. 95921-8","Pricev.Price(Wash. 2018)","US","DONE",30092,613,"https://www.courtlistener.com/opinion/6657244/price-v-price/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","版权","No. 5:18-CV-420-FL","Sears Contractï¼è¡ä»½æéå¬å¸è¯Sauerè¡ä»½æéå¬å¸ï¼E.D.N.C.2019ï¼","US","DONE",30083,1622,"https://www.courtlistener.com/opinion/7335740/sears-contract-inc-v-sauer-inc/?q=contract&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
"zh","劳动","No. 1D17â515","Jenkins v.Power(Fla. Dist. Ct. App. 2018)","US","IDLE",210462,0,"https://www.courtlistener.com/opinion/7676333/jenkins-v-power/?q=power&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","股东","3-20-0277","Studer v.Central Illinois Scale Co. (Ill. App. Ct. 2021)","US","DONE",35104,1746,"https://www.courtlistener.com/opinion/10023993/studer-v-central-illinois-scale-co/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=6",""
"zh","税务","Civil Action No. 2020-1739","Movecorp v. Small Business Administration (D.D.C. 2021)","US","DONE",30090,1569,"https://www.courtlistener.com/opinion/4902582/movecorp-v-small-business-administration/?q=business&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","消费者","2007-IA-01458-SCT","Investor Resource Services, Inc. v. Cato (Miss. 2009)","US","DONE",40102,1811,"https://www.courtlistener.com/opinion/1623537/investor-resource-services-inc-v-cato/?q=investor&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=4",""
"zh","交通","24-215","Airdoctor, LLC v. Xiamen Qichuang Trade Co., Ltd. (9th Cir. 2025)","US","DONE",45121,2326,"https://www.courtlistener.com/opinion/10376980/airdoctor-llc-v-xiamen-qichuang-trade-co-ltd/?q=trade&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","侵权","WR-58,167-02","Price, James Everett (Tex. Crim. App. 2023)","US","DONE",5036,1268,"https://www.courtlistener.com/opinion/9368044/price-james-everett/?q=price&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=2",""
"zh","股东","ASBCA No. 62624","Central Company (A.S.B.C.A. 2022)","US","DONE",40108,2160,"https://www.courtlistener.com/opinion/6444546/central-company/?q=central&type=o&order_by=score+desc&stat_Published=on&filed_after=&page=1",""
